Specific Heat Capacity (J/(g·K)),Specific Viscosity
2.875787929476492,2.085417637279014,Poly(BA-a)
4.680997379279132,2.0445735681972415,Poly(BA-a)
16.277572766693943,1.6240462913629452,Poly(BA-a)
16.816582179500365,1.605120671308228,Poly(BA-a)
17.41282842133351,1.5933973915312558,Poly(BA-a)
17.578010389775724,1.5868456007784726,Poly(BA-a)
2.875787929476492,-4.422815639889772,iPP
4.680997379279132,-4.3862832405848335,iPP
16.277572766693943,-4.809112389754008,iPP
16.816582179500365,-4.823276044079357,iPP
17.41282842133351,-4.8441621255406435,iPP
17.578010389775724,-4.841672284735132,iPP
2.875787929476492,-6.649042140483146,Polychlorotrifluoroethylene
4.680997379279132,-2.8420016574044302,Polychlorotrifluoroethylene
16.277572766693943,66.5105059941988,Polychlorotrifluoroethylene
16.816582179500365,239.12092687697827,Polychlorotrifluoroethylene
17.41282842133351,-385.6690027940196,Polychlorotrifluoroethylene
17.578010389775724,167.87301703456615,Polychlorotrifluoroethylene
2.875787929476492,-0.7745109769563677,PVAL
4.680997379279132,-0.9150562329207734,PVAL
16.277572766693943,-1.165499510239045,PVAL
16.816582179500365,-1.1665047953854928,PVAL
17.41282842133351,-1.167675585857793,PVAL
17.578010389775724,-1.167679166551236,PVAL
