Pressure (Pa),Pore Volume (cm³/g)
10,8.884959135737548,PETP
11,13.687294431134681,PETP
14,13.997424764184952,PETP
15,16.082912898333177,PETP
16,11.259810562321885,PETP
10,-12.075008997162621,PC
11,21.05336613789379,PC
14,81.8941612615707,PC
15,141.13952701188828,PC
16,57.90117698694236,PC
10,-2.8440765043553933,SAN
11,-1.8128363858605026,SAN
14,1.2469713898476282,SAN
15,-9.710957033979337,SAN
16,-1.8956991237830967,SAN
10,-7.830522715324508,PEEK
11,-7.8351468091464636,PEEK
14,-7.857671349239597,PEEK
15,-7.861504299474593,PEEK
16,-7.864411200417131,PEEK
10,-0.8584942991267184,CAB
11,2.77030571908972,CAB
14,-4.448376085529517,CAB
15,0.66995584833822,CAB
16,1.2523863912961115,CAB
