vol% (%),Decomposition Temperature (°C)
7,7.984565638157298,
8,15.32697770785598,
10,21.342914331835797,
12,11.21465211586482,
19,118.94837089644847,
7,-3.4497301212224407,
8,-3.564894782499973,
10,-3.975524371997713,
12,-1.973410136642915,
19,0.7385083472941618,
7,9.970138628980832,
8,9.471088326512543,
10,11.084087052354974,
12,10.436693907439734,
19,16.565057422765594,
7,3.650325599198195,
8,4.962479294251834,
10,6.37402462755607,
12,4.877914272906565,
19,4.669994624176439,
