Surfactant Concentration (M),Impact Strength (kJ/m²)
0.8913189458341741,5.087175477539172,Poly(benzoxazine)
5.697964185088031,9.40981326558651,Poly(benzoxazine)
13.668252458978055,-2.2558066350118633,Poly(benzoxazine)
16.369389073277016,17.214358864592853,Poly(benzoxazine)
17.081866171413306,502.8113725805671,Poly(benzoxazine)
0.8913189458341741,7.813330467287757,PA 6T
5.697964185088031,7.639230240054171,PA 6T
13.668252458978055,7.309067556966464,PA 6T
16.369389073277016,7.2487643089918326,PA 6T
17.081866171413306,7.2368088595473425,PA 6T
0.8913189458341741,2.7232409982516876,Poly(ethylene-vinyl acetate)
5.697964185088031,2.325984350459294,Poly(ethylene-vinyl acetate)
13.668252458978055,2.168174997803693,Poly(ethylene-vinyl acetate)
16.369389073277016,2.1581450332241214,Poly(ethylene-vinyl acetate)
17.081866171413306,2.1563590331641813,Poly(ethylene-vinyl acetate)
