Crosslinking Density (mol/m³),Fatigue Strength (MPa)
8.852229317946193,18.900473399373883,0.19% TiO2
14.475773440758688,42.86599445203,0.19% TiO2
15.26846372097391,245.5692094171224,0.19% TiO2
16.57318723253072,30.593824954022217,0.19% TiO2
18.978607754291726,-126.0730729832964,0.19% TiO2
8.852229317946193,-0.16306922071962626,0.41% TiO2
14.475773440758688,0.4397113507627881,0.41% TiO2
15.26846372097391,4.82232981494617,0.41% TiO2
16.57318723253072,-3.3711162825282788,0.41% TiO2
18.978607754291726,3.8814812324994117,0.41% TiO2
8.852229317946193,2.6081765581330965,0.73% TiO2
14.475773440758688,2.4493944162382677,0.73% TiO2
15.26846372097391,2.415488636374924,0.73% TiO2
16.57318723253072,2.4124723756585746,0.73% TiO2
18.978607754291726,2.3597816130352776,0.73% TiO2
8.852229317946193,8.185016800955456,0.88% TiO2
14.475773440758688,7.999357529459519,0.88% TiO2
15.26846372097391,7.994159150980593,0.88% TiO2
16.57318723253072,7.967247657318956,0.88% TiO2
18.978607754291726,7.926181610013668,0.88% TiO2
