Curing Temperature (°C),Intrinsic Viscosity (dl/g)
5.367955173664369,-4.396239195937735,
6.192218127412648,-4.913697778201357,
7.480596919497289,-3.91120301285983,
10.134762352025636,-7.444197505323527,
13.84629915300347,-6.089319186212327,
11,3.1160947924443683,
13,3.013975596609746,
16,2.9659846678044985,
18,2.9205521500415177,
19,2.9105171601468096,
3.5211875705524687,7.344497955488172,
6.147071589869764,7.198546981545142,
15.41675773659966,13.973074348328723,
17.439002868539585,9.46141111727426,
19.642960142826777,2.7956871301601076,
