Frequency (Hz),Toughness (MJ/m³)
3.6392354451929676,7.847767177310024,
4.3051741398710135,6.924717940210993,
4.66682250781952,10.90481407545916,
3.6392354451929676,-0.2660245008555996,
4.3051741398710135,-0.3350101596882437,
4.66682250781952,-0.4031487536866617,
3.6392354451929676,8.10689837394216,
4.3051741398710135,8.090867363330869,
4.66682250781952,8.044481140464605,
3.6392354451929676,3.4543691300041814,
4.3051741398710135,2.725322534495773,
4.66682250781952,2.8042218796126392,
