EV (V),Tg (°C)
1.3854641329337514,-4.113779352958426,
4.455552078355525,-2.1625879890201825,
5.156781765017868,-1.8059672498127126,
6.3552127781676315,2.627199877463397,
12.88853801709416,2.7173252697548964,
14.575101202502747,-41.286649176716786,
1.3854641329337514,5.817300243395246,
4.455552078355525,8.347646738400393,
5.156781765017868,8.62278092708789,
6.3552127781676315,13.175135177945055,
12.88853801709416,96.83684667317243,
14.575101202502747,42.057865351317446,
1.3854641329337514,7.025384070400975,
4.455552078355525,6.442645065604285,
5.156781765017868,6.334118679390267,
6.3552127781676315,6.314367965651322,
12.88853801709416,6.196365841377617,
14.575101202502747,6.186933701474824,
1.3854641329337514,4.081181043964089,
4.455552078355525,3.85487776529357,
5.156781765017868,5.016896150822044,
6.3552127781676315,5.488560846316657,
12.88853801709416,5.990020196431173,
14.575101202502747,14.223178762142801,
