Magnetic Field Strength (T),Porosity (%)
2,1.7971714972649964,0.51% silica gel/PS-I
5,1.6272873479215502,0.51% silica gel/PS-I
8,1.4851975108781137,0.51% silica gel/PS-I
10,1.4425691598958967,0.51% silica gel/PS-I
13,1.310923038543744,0.51% silica gel/PS-I
1.408510844856652,-2.8985432234622017,0.64% silica gel/PS-I
3.4754648143877653,-3.661503822046781,0.64% silica gel/PS-I
5.5093251902622375,-1.7273975678004856,0.64% silica gel/PS-I
8.743706017508647,-2.775151523327289,0.64% silica gel/PS-I
11.90256276829942,-2.8725835129183466,0.64% silica gel/PS-I
7.433410228072268,-2.971822998299601,0.91% silica gel/PS-I
8.760139229066958,-2.410343022145736,0.91% silica gel/PS-I
10.44652278519575,-4.348033206128346,0.91% silica gel/PS-I
13.39548520718807,-1.7718120906734263,0.91% silica gel/PS-I
14.708298770290433,-3.195989905236492,0.91% silica gel/PS-I
0,-5.0926342375477445,0.88% silica gel/PS-I
4,-3.9858306952958094,0.88% silica gel/PS-I
8,-4.240676213157315,0.88% silica gel/PS-I
12,-4.489374792490191,0.88% silica gel/PS-I
16,-2.8686954621847707,0.88% silica gel/PS-I
