Crosslinking Density (mol/m³),Permittivity
3.554515321366669,4.330800937645871,0.47% silica gel/PVA
14.91669851989691,3.998062644598711,0.47% silica gel/PVA
15.72518772179119,3.994732910570072,0.47% silica gel/PVA
17.11379705126397,3.9920456824589707,0.47% silica gel/PVA
18.84150178351727,3.989425816050472,0.47% silica gel/PVA
3.554515321366669,0.959633987207563,0.99% silica gel/PVA
14.91669851989691,0.47853803050281557,0.99% silica gel/PVA
15.72518772179119,0.4646503567047451,0.99% silica gel/PVA
17.11379705126397,0.43085917994814144,0.99% silica gel/PVA
18.84150178351727,0.40877540155518294,0.99% silica gel/PVA
