Degradation Temperature (°C),Hysteresis Loss (J/m³)
5.2089354180831275,0.2450211760623555,PRX
9.628635787217224,0.11714538600847849,PRX
10.315944712220162,0.10017143287811686,PRX
11.642819292054998,0.08274354769044322,PRX
13.171793664116445,0.07300577196540495,PRX
18.090158220848966,0.05846327313932167,PRX
5.2089354180831275,-3.1035081866033023,PTFCE
9.628635787217224,-3.2698214600129063,PTFCE
10.315944712220162,-3.2759632907669274,PTFCE
11.642819292054998,-3.2962249580392227,PTFCE
13.171793664116445,-3.308920497281357,PTFCE
18.090158220848966,-3.3229309226193737,PTFCE
5.2089354180831275,2.6151451604603078,Poly(vinylidene fluoride)
9.628635787217224,0.4077544500952448,Poly(vinylidene fluoride)
10.315944712220162,0.08387365410778713,Poly(vinylidene fluoride)
11.642819292054998,6.4325033518821435,Poly(vinylidene fluoride)
13.171793664116445,3.089504053017921,Poly(vinylidene fluoride)
18.090158220848966,-4.674369741594296,Poly(vinylidene fluoride)
5.2089354180831275,4.150438813783118,Poly(butylene terephthalate)
9.628635787217224,24.607255257304175,Poly(butylene terephthalate)
10.315944712220162,20.033089252135156,Poly(butylene terephthalate)
11.642819292054998,19.933228481131508,Poly(butylene terephthalate)
13.171793664116445,34.91622401575803,Poly(butylene terephthalate)
18.090158220848966,336.5891287116407,Poly(butylene terephthalate)
