Solvent Concentration (M),Corrosion Rate (mm/year)
0,-2.3584681621334136,0.38% MWCNT/NVE
8,-0.4963849940641363,0.38% MWCNT/NVE
17,0.9980455791415039,0.38% MWCNT/NVE
19,-3.0828774141616897,0.38% MWCNT/NVE
0,3.040110251553158,0.12% MWCNT/NVE
8,8.721510851885988,0.12% MWCNT/NVE
17,394.3483519312594,0.12% MWCNT/NVE
19,1134.2082154361456,0.12% MWCNT/NVE
0,0.28798820845379414,0.84% MWCNT/NVE
8,-0.21376543767468537,0.84% MWCNT/NVE
17,12.158263963836651,0.84% MWCNT/NVE
19,-11.491674729105767,0.84% MWCNT/NVE
0,-5.3962011096348785,0.02% MWCNT/NVE
8,-6.531520307719194,0.02% MWCNT/NVE
17,-6.6461249098245405,0.02% MWCNT/NVE
19,-6.648477873519966,0.02% MWCNT/NVE
