Frequency (Hz),Pore Volume (cm³/g)
2,4.188718567337052,0.68% zinc oxide
4,4.835491191812666,0.68% zinc oxide
6,11.034333958184268,0.68% zinc oxide
11,27.676601982186853,0.68% zinc oxide
15,39.47890964467409,0.68% zinc oxide
17,170.2943225288844,0.68% zinc oxide
2,-6.534248255142533,0.47% zinc oxide
4,-6.663249300609881,0.47% zinc oxide
6,-6.741489386189831,0.47% zinc oxide
11,-6.94879329999444,0.47% zinc oxide
15,-7.0060765033203305,0.47% zinc oxide
17,-7.075617714989537,0.47% zinc oxide
2,-3.492582768028316,0.76% zinc oxide
4,-3.655355624110949,0.76% zinc oxide
6,-3.927408614980227,0.76% zinc oxide
11,-4.025697020209751,0.76% zinc oxide
15,-4.1266595259927215,0.76% zinc oxide
17,-4.164455634492323,0.76% zinc oxide
