Annealing Temperature (°C),Reduction Potential (V)
3.7406182332658022,7.777703503422063,0.23% Carbon Black/Poly(hexafluoro propylene)
4.640742282732216,7.880579548347595,0.23% Carbon Black/Poly(hexafluoro propylene)
8.051940208491999,7.678087224681645,0.23% Carbon Black/Poly(hexafluoro propylene)
15.574385019082563,7.454857674405632,0.23% Carbon Black/Poly(hexafluoro propylene)
3.7406182332658022,2.8829762679505513,0.94% Carbon Black/Poly(hexafluoro propylene)
4.640742282732216,2.8399110159182857,0.94% Carbon Black/Poly(hexafluoro propylene)
8.051940208491999,2.6997875118403107,0.94% Carbon Black/Poly(hexafluoro propylene)
15.574385019082563,2.375225362679798,0.94% Carbon Black/Poly(hexafluoro propylene)
3.7406182332658022,-4.022575639653431,0.89% Carbon Black/Poly(hexafluoro propylene)
4.640742282732216,-4.0926718842338605,0.89% Carbon Black/Poly(hexafluoro propylene)
8.051940208491999,-4.252643754734377,0.89% Carbon Black/Poly(hexafluoro propylene)
15.574385019082563,-4.510930637209011,0.89% Carbon Black/Poly(hexafluoro propylene)
3.7406182332658022,5.524803602330973,0.42% Carbon Black/Poly(hexafluoro propylene)
4.640742282732216,8.832001306174227,0.42% Carbon Black/Poly(hexafluoro propylene)
8.051940208491999,5.355634189190006,0.42% Carbon Black/Poly(hexafluoro propylene)
15.574385019082563,-74.83922824968576,0.42% Carbon Black/Poly(hexafluoro propylene)
3.7406182332658022,1.7562900866817228,0.48% Carbon Black/Poly(hexafluoro propylene)
4.640742282732216,3.313111968588464,0.48% Carbon Black/Poly(hexafluoro propylene)
8.051940208491999,7.046683977428892,0.48% Carbon Black/Poly(hexafluoro propylene)
15.574385019082563,100.30437878147218,0.48% Carbon Black/Poly(hexafluoro propylene)
