Strain,Ionic Conductivity (S/m)
7.383631890252483,-2.670347278282236,aPP
14.760748922044034,3.2947151420992693,aPP
19.64845195739828,-15.110229837702684,aPP
7.383631890252483,3.327412754650494,Poly(ether ether ketone)
14.760748922044034,0.4295399801286526,Poly(ether ether ketone)
19.64845195739828,6.273028846709445,Poly(ether ether ketone)
7.383631890252483,3.576967452469018,Poly(2-hydroxyethyl methacrylate)
14.760748922044034,3.2817948638720646,Poly(2-hydroxyethyl methacrylate)
19.64845195739828,3.1835380638400967,Poly(2-hydroxyethyl methacrylate)
7.383631890252483,1.7102310408499615,silicone
14.760748922044034,1.4041327788489935,silicone
19.64845195739828,1.317324806563634,silicone
