Evaporation Temperature (°C),Toughness (MJ/m³)
2,5.789510621104549,0.13% cellulose nanocrystal/SAN24
3,6.459115741620906,0.13% cellulose nanocrystal/SAN24
15,76.71669177056593,0.13% cellulose nanocrystal/SAN24
17,193.11849412789948,0.13% cellulose nanocrystal/SAN24
2,-1.0160110320385973,0.54% cellulose nanocrystal/SAN24
3,-1.9333293691734155,0.54% cellulose nanocrystal/SAN24
15,105.8431613899487,0.54% cellulose nanocrystal/SAN24
17,491.8455671724532,0.54% cellulose nanocrystal/SAN24
2,-5.442167188969437,0.78% cellulose nanocrystal/SAN24
3,-5.664453403844769,0.78% cellulose nanocrystal/SAN24
15,-5.965250992074099,0.78% cellulose nanocrystal/SAN24
17,-5.970420217846647,0.78% cellulose nanocrystal/SAN24
2,-0.16259197200479336,0.53% cellulose nanocrystal/SAN24
3,-0.3245011161243053,0.53% cellulose nanocrystal/SAN24
15,-0.7275642036888613,0.53% cellulose nanocrystal/SAN24
17,-0.7324521223223192,0.53% cellulose nanocrystal/SAN24
