Magnetic Field Strength (T),Flexural Modulus (GPa)
0,-2.8936754915718326,
10,-3.6834954987317903,
11,-3.709548749190811,
13,-3.8017693684914784,
14,-3.826417130813425,
0,3.69958004015069,
10,28.305721930103537,
11,5.941339361769787,
13,23.59079087212985,
14,130.23862766607087,
0,-0.1959771729617984,
10,-0.6899266482638722,
11,-0.7181703056178877,
13,-0.7670063182897886,
14,-0.8158871004904299,
0,-4.330238234424704,
10,-3.9150841951100306,
11,-1.4459589448525865,
13,-2.358590826416382,
14,-0.8477015310712668,
