Young’s Modulus (GPa),Poisson’s Ratio
0,-0.2756725602777147,0.26% Au/EPDM rubber
1,-0.28264569782426097,0.26% Au/EPDM rubber
2,-0.3022064302293732,0.26% Au/EPDM rubber
3,-0.41140581712320035,0.26% Au/EPDM rubber
4,-0.3840478178831933,0.26% Au/EPDM rubber
18,-0.9875142033561599,0.26% Au/EPDM rubber
0,4.276203608055556,0.58% Au/EPDM rubber
1,4.864509060991544,0.58% Au/EPDM rubber
2,4.589761014641519,0.58% Au/EPDM rubber
3,6.202721483839428,0.58% Au/EPDM rubber
4,6.046129297560349,0.58% Au/EPDM rubber
18,491.9777733140043,0.58% Au/EPDM rubber
0,-4.035504779586807,0.99% Au/EPDM rubber
1,-3.9312222548089855,0.99% Au/EPDM rubber
2,-2.4880097801506698,0.99% Au/EPDM rubber
3,-2.1726127633062586,0.99% Au/EPDM rubber
4,-1.1323117939172977,0.99% Au/EPDM rubber
18,49.97923007504621,0.99% Au/EPDM rubber
