Decomposition Temperature (°C),Elongation At Break (%)
1,1.4354530124919243,Sepiolite/poly-HEMA
3,1.2038580851374612,Sepiolite/poly-HEMA
10,0.7978328516112394,Sepiolite/poly-HEMA
15,0.752889403126584,Sepiolite/poly-HEMA
1,1.4791303735126955,graphene nanoribbon/poly-HEMA
3,0.8395202215469637,graphene nanoribbon/poly-HEMA
10,0.554346216461444,graphene nanoribbon/poly-HEMA
15,0.5159816022461734,graphene nanoribbon/poly-HEMA
1,8.08729374275179,Thermal black/poly-HEMA
3,7.684062763520494,Thermal black/poly-HEMA
10,7.440602372914017,Thermal black/poly-HEMA
15,7.300550692583167,Thermal black/poly-HEMA
1,7.338852321473899,aluminum/poly-HEMA
3,7.656999741878807,aluminum/poly-HEMA
10,7.089539930114795,aluminum/poly-HEMA
15,6.962699037523394,aluminum/poly-HEMA
1,-3.345415167293034,SWCNTs/poly-HEMA
3,-3.005412881076584,SWCNTs/poly-HEMA
10,-1.6246451754483995,SWCNTs/poly-HEMA
15,2.529586072773615,SWCNTs/poly-HEMA
