Specific Surface Area (m²/g),Tensile Strength (MPa)
1.186942050908546,7.968682871749962,PA 66
7.719823586876711,9.057490143176379,PA 66
8.036943872608786,8.37458878677051,PA 66
9.229589125108228,10.19817051441648,PA 66
14.734844266091526,9.815064911466433,PA 66
18.001197164116096,11.38243327727417,PA 66
1.186942050908546,-5.214277937759686,PVC
7.719823586876711,-4.699319701429227,PVC
8.036943872608786,-3.928790869042972,PVC
9.229589125108228,-2.885366141640451,PVC
14.734844266091526,-3.8928956526820144,PVC
18.001197164116096,-4.559531157979493,PVC
