Incubation Time (h),Particle Size (nm)
0.22983354662811983,-1.4801003228203937,0.25% silicon dioxide
12.073645646813462,19.956966981572208,0.25% silicon dioxide
13.767305535098348,41.92803991110407,0.25% silicon dioxide
17.884209220196652,99.60239480254349,0.25% silicon dioxide
19.785763657589,368.4284074482954,0.25% silicon dioxide
3,-0.22528789052365672,0.84% silicon dioxide
6,-0.3456217240111591,0.84% silicon dioxide
15,-0.5147197665592346,0.84% silicon dioxide
16,-0.5177774482849489,0.84% silicon dioxide
19,-0.5225634097101969,0.84% silicon dioxide
