Storage Time (days),Magnetic Permeability (H/m)
1,-5.813110713059384,0.98% Graphene oxide/TPU
5,-6.378364255246382,0.98% Graphene oxide/TPU
12,-6.54621296640139,0.98% Graphene oxide/TPU
14,-6.558305044544958,0.98% Graphene oxide/TPU
15,-6.56202304136596,0.98% Graphene oxide/TPU
1,2.5974345617104024,0.58% Graphene oxide/TPU
5,2.2365647914646787,0.58% Graphene oxide/TPU
12,2.0101683085878985,0.58% Graphene oxide/TPU
14,1.9956294780753134,0.58% Graphene oxide/TPU
15,1.9920473593221757,0.58% Graphene oxide/TPU
