Coefficient Of Thermal Expansion (1/K),Tan Delta
3.409435554707567,3.088516037707013,carbon nanofibers/CAB
8.232553155764343,6.314507598750494,carbon nanofibers/CAB
17.956972640267498,3.4946638074755523,carbon nanofibers/CAB
5.910316592010892,3.4036730477044923,PbS/CAB
8.303278924291547,4.483833230606914,PbS/CAB
14.58631474002364,37.2226949189125,PbS/CAB
4.270377043711415,-5.182820467674536,Graphene/CAB
11.973656655610041,-5.462785323195552,Graphene/CAB
18.73756471236868,-5.603875091171407,Graphene/CAB
5,7.544027811326854,alumina/CAB
11,36.31761371603133,alumina/CAB
19,153.36483132138616,alumina/CAB
3.2990613124052404,-3.1376381770034416,Polyaniline/CAB
7.631284957305898,-3.400669339258663,Polyaniline/CAB
18.77471761603112,-3.4947653410645563,Polyaniline/CAB
