Calcination Temperature (°C),Poisson’s Ratio
0.473865616314606,6.250907943683899,0.38% expanded graphite/S-SEBS
2.2678651195693567,6.388897363626605,0.38% expanded graphite/S-SEBS
6.7631786294333684,6.066020881570335,0.38% expanded graphite/S-SEBS
17.706196162744934,5.800208197134069,0.38% expanded graphite/S-SEBS
0.473865616314606,-0.6502192018862336,0.35% expanded graphite/S-SEBS
2.2678651195693567,-0.5929624380280663,0.35% expanded graphite/S-SEBS
6.7631786294333684,0.18267452965714615,0.35% expanded graphite/S-SEBS
17.706196162744934,16.50417783735501,0.35% expanded graphite/S-SEBS
0.473865616314606,3.785803014603391,0.09% expanded graphite/S-SEBS
2.2678651195693567,3.7438637322851624,0.09% expanded graphite/S-SEBS
6.7631786294333684,5.317103898131984,0.09% expanded graphite/S-SEBS
17.706196162744934,9.3058076368952,0.09% expanded graphite/S-SEBS
0.473865616314606,-7.116397243274228,0.19% expanded graphite/S-SEBS
2.2678651195693567,-7.488062168875046,0.19% expanded graphite/S-SEBS
6.7631786294333684,-7.818429980448536,0.19% expanded graphite/S-SEBS
17.706196162744934,-7.926681725122513,0.19% expanded graphite/S-SEBS
