Tensile Strength (MPa),Thermal Resistance (K/W)
1.3319470579865822,-4.571343618071933,0.15% MgO/PBS
4.877763151108061,-4.888126158481565,0.15% MgO/PBS
8.342668863246347,-5.1178641493763015,0.15% MgO/PBS
12.864657226387045,-5.268976835704808,0.15% MgO/PBS
1.3319470579865822,-4.104516721547644,0.54% MgO/PBS
4.877763151108061,-4.585417845066768,0.54% MgO/PBS
8.342668863246347,-4.762602576546096,0.54% MgO/PBS
12.864657226387045,-4.809453401975531,0.54% MgO/PBS
1.3319470579865822,-3.4740270352392773,0.62% MgO/PBS
4.877763151108061,-3.5110490222553667,0.62% MgO/PBS
8.342668863246347,-3.7159617660704547,0.62% MgO/PBS
12.864657226387045,-3.9012221495792696,0.62% MgO/PBS
1.3319470579865822,0.14247943013257602,0.2% MgO/PBS
4.877763151108061,1.4883484086009426,0.2% MgO/PBS
8.342668863246347,1.0200004822590045,0.2% MgO/PBS
12.864657226387045,2.001081232075851,0.2% MgO/PBS
