Specific Heat Capacity (J/(g·K)),Oxidation Potential (V)
3.5978898526968095,-5.205817993227049,
7.748440891013095,-5.391632126695159,
16.153942985288086,-5.676802604608701,
3.5978898526968095,5.749142791239518,
7.748440891013095,7.122234567835504,
16.153942985288086,19.620374501502496,
3.5978898526968095,7.488934327373389,
7.748440891013095,7.408770391415999,
16.153942985288086,7.092976839344153,
3.5978898526968095,4.84558692175361,
7.748440891013095,4.4581638963439705,
16.153942985288086,4.21267147951409,
