Thermal Conductivity (W/(m·K)),Electric Field Strength (V/m)
1.8904791143657595,-1.8789319922187946,PVOH
5.766332299445567,-2.2369321985711093,PVOH
12.196188253324376,-2.542741897091481,PVOH
12.955019526775766,-2.573328229537858,PVOH
15.359657549055507,-2.6466890318227163,PVOH
4.4141514865314635,0.9601728707625987,PAA
7.763037405308388,0.7631844332370272,PAA
8.132511924167492,0.7561529512142694,PAA
12.682691992227316,0.6931879581673841,PAA
15.281180780633733,0.6820783380086543,PAA
3,8.455713198608878,P(VDF-HFP)
11,10.045868601765683,P(VDF-HFP)
16,8.994386646749778,P(VDF-HFP)
18,6.568568745051451,P(VDF-HFP)
19,14.092703886603719,P(VDF-HFP)
1,7.173223074317661,VER
9,8.092227813085131,VER
10,10.283117725017986,VER
11,9.629146993190854,VER
14,9.591763364604413,VER
7.19732159667986,-3.550263084768878,TPU
12.103286321213307,-3.694191535184395,TPU
12.887245310579726,-3.7259776947745653,TPU
15.658166352176682,-3.8126714443280845,TPU
18.026987933986977,-3.8338461676054374,TPU
