vol% (%),Elongation At Break (%)
3,-0.5753564672452738,Polyamide-imide
5,-0.584580270601538,Polyamide-imide
8,0.7548257246837919,Polyamide-imide
13,3.229835792745889,Polyamide-imide
3,5.337461243535838,PTFE
5,8.434030966039149,PTFE
8,12.504096882277233,PTFE
13,59.25501532297744,PTFE
3,-4.6212207502184945,PBI
5,-4.939445448867762,PBI
8,-5.099703549498382,PBI
13,-5.158193470837272,PBI
3,7.519226896919706,Poly-trifluoroethylene
5,7.343198329301403,Poly-trifluoroethylene
8,7.150593044815905,Poly-trifluoroethylene
13,7.0502308704962315,Poly-trifluoroethylene
3,4.696102758924713,PETP
5,6.812525427451365,PETP
8,16.33538809290176,PETP
13,10.896540754235737,PETP
