Pore Volume (cm³/g),Tg (°C)
0.6552218160718537,-3.884604504016199,0.36% Silicon dioxide
2.6534621358218624,-3.1718413607387106,0.36% Silicon dioxide
16.15226047871847,223.03214547579663,0.36% Silicon dioxide
18.2290341895602,300.3524582604801,0.36% Silicon dioxide
18.952569715068325,626.4216547761946,0.36% Silicon dioxide
0.6552218160718537,8.016584837729752,0.87% Silicon dioxide
2.6534621358218624,8.200566722176653,0.87% Silicon dioxide
16.15226047871847,7.544022894650549,0.87% Silicon dioxide
18.2290341895602,7.5079941115662505,0.87% Silicon dioxide
18.952569715068325,7.497402537717279,0.87% Silicon dioxide
0.6552218160718537,-5.901002247021502,0.85% Silicon dioxide
2.6534621358218624,-6.287956391698311,0.85% Silicon dioxide
16.15226047871847,-6.7899094243094495,0.85% Silicon dioxide
18.2290341895602,-6.836761672205829,0.85% Silicon dioxide
18.952569715068325,-6.844436252560919,0.85% Silicon dioxide
0.6552218160718537,6.53124180464927,0.7% Silicon dioxide
2.6534621358218624,7.716906354694098,0.7% Silicon dioxide
16.15226047871847,168.374837638927,0.7% Silicon dioxide
18.2290341895602,408.35328419622226,0.7% Silicon dioxide
18.952569715068325,140.5065665539189,0.7% Silicon dioxide
