Thermal Conductivity (W/(m·K)),Electrical Resistivity (Ω·m)
5.620221612103553,4.338264258584616,
5.7258181239478905,1.629654077319132,
10.385995880321602,32.83311938063407,
13.106291600774222,86.63794715792947,
14.215248386115348,132.28113347243712,
14.69852439139687,-19.903416202377983,
5.620221612103553,1.018539309230261,
5.7258181239478905,1.0089128978337576,
10.385995880321602,0.8337728565164084,
13.106291600774222,0.8097096480358273,
14.215248386115348,0.8069671458526401,
14.69852439139687,0.8059200048272009,
5.620221612103553,1.0382997850646467,
5.7258181239478905,1.2533764732208197,
10.385995880321602,3.1573031157707354,
13.106291600774222,3.5929993105712197,
14.215248386115348,5.521874416825703,
14.69852439139687,5.200026043480838,
5.620221612103553,-5.738618050484785,
5.7258181239478905,-5.656090327968652,
10.385995880321602,-5.849712101154953,
13.106291600774222,-5.878120107312629,
14.215248386115348,-5.920586441322093,
14.69852439139687,-5.94372703737249,
5.620221612103553,-0.3499196406604075,
5.7258181239478905,-0.4585355324232784,
10.385995880321602,-0.571174426637112,
13.106291600774222,-0.6644023888064495,
14.215248386115348,-0.702309367278431,
14.69852439139687,-0.7010975857779138,
