Pore Size (nm),Thermal Conductivity (W/(m·K))
2.1778237406609158,-6.316976085781101,PAA
6.210135816820674,-6.460914330734393,PAA
7.574165036686447,-6.5763032850203595,PAA
10.793724230665848,-6.670367844908442,PAA
12.398356612285376,-6.6805471569809525,PAA
2.1778237406609158,8.171268361995159,Poly(methyl acrylate)
6.210135816820674,7.790846493111588,Poly(methyl acrylate)
7.574165036686447,7.737159512027749,Poly(methyl acrylate)
10.793724230665848,7.671147807643442,Poly(methyl acrylate)
12.398356612285376,7.653590975349119,Poly(methyl acrylate)
