Nanoparticle Mass (%),Elongation At Break (%)
3.003688551136785,9.5878790746427,PTFE
4.525822212770785,8.045007300504174,PTFE
12.597042395986229,104.15627624317224,PTFE
17.24884063908125,-171.748271686184,PTFE
3.003688551136785,9.439475830082017,Poly(bisphenol A carbonate)
4.525822212770785,10.863483100248514,Poly(bisphenol A carbonate)
12.597042395986229,45.96144573345353,Poly(bisphenol A carbonate)
17.24884063908125,135.0955168323004,Poly(bisphenol A carbonate)
3.003688551136785,-5.790896730308861,Nylon 8
4.525822212770785,-5.9435677004998535,Nylon 8
12.597042395986229,-6.190503649690827,Nylon 8
17.24884063908125,-6.2061192838882775,Nylon 8
3.003688551136785,3.1233536328397564,PET
4.525822212770785,3.4612823102382806,PET
12.597042395986229,5.864696439062719,PET
17.24884063908125,8.639863762779576,PET
