Volume Fraction,Electronic Conductivity (S/m)
2,4.368727328177352,
3,4.3032072668253605,
8,4.0857653395446345,
14,3.803136996386167,
2,5.246274371492514,
4,5.315637020823543,
14,4.644196384939997,
18,4.584380542847674,
4,7.783379392383765,
15,16.163383525646097,
16,-53.15317603065644,
18,237.30579923174562,
3.32646896512254,6.448442678036878,
6.135600830762988,6.213878890289708,
13.590990876531652,6.099258468336641,
17.525466792706244,6.087911245915009,
6,-5.2886345492168045,
7,-5.4221447101002305,
18,-5.742818798529489,
19,-5.747219127994071,
