Thickness (µm),Adhesion Strength (MPa)
7.1132486021624235,14.176404035913828,Silicon dioxide/PC
8.916426770128218,11.131683148529048,Silicon dioxide/PC
9.263274995848654,32.752187981606504,Silicon dioxide/PC
9.730990130848514,11.607806624039567,Silicon dioxide/PC
15.311782519146584,141.8820773439598,Silicon dioxide/PC
7.1132486021624235,7.315499983782131,Calcium Carbonate/PC
8.916426770128218,7.4481181347327885,Calcium Carbonate/PC
9.263274995848654,6.511134585287406,Calcium Carbonate/PC
9.730990130848514,9.215888891062406,Calcium Carbonate/PC
15.311782519146584,4.6094137905231465,Calcium Carbonate/PC
7.1132486021624235,0.11085519671977767,Ag/PC
8.916426770128218,0.11979075481632223,Ag/PC
9.263274995848654,0.09778666944021575,Ag/PC
9.730990130848514,0.09748613989971905,Ag/PC
15.311782519146584,-0.08129425515001623,Ag/PC
7.1132486021624235,4.140430173773867,octyldimethylmethoxysilane/PC
8.916426770128218,4.086119251256831,octyldimethylmethoxysilane/PC
9.263274995848654,4.0995945614569305,octyldimethylmethoxysilane/PC
9.730990130848514,4.068905172624635,octyldimethylmethoxysilane/PC
15.311782519146584,3.9157515928906297,octyldimethylmethoxysilane/PC
