Heat Treatment Time (h),Hardness (HV)
1.0764031085125914,6.805157616928836,0.98% White mineral oil
3.847999046749495,8.991614651200628,0.98% White mineral oil
10.118112603172353,37.00326268772793,0.98% White mineral oil
11.19873546897921,-14.883049398247765,0.98% White mineral oil
16.040025893375034,143.1987117210568,0.98% White mineral oil
17.728005203807268,34.82731143265605,0.98% White mineral oil
1.0764031085125914,8.570470685381666,0.21% White mineral oil
3.847999046749495,13.636264176681559,0.21% White mineral oil
10.118112603172353,30.243909098218246,0.21% White mineral oil
11.19873546897921,47.41236588168102,0.21% White mineral oil
16.040025893375034,317.3858681231393,0.21% White mineral oil
17.728005203807268,393.57335643680995,0.21% White mineral oil
1.0764031085125914,0.5778409285568405,0.26% White mineral oil
3.847999046749495,-0.03869189904159609,0.26% White mineral oil
10.118112603172353,-0.24745064229250152,0.26% White mineral oil
11.19873546897921,-0.2694745108637414,0.26% White mineral oil
16.040025893375034,-0.29633532980872923,0.26% White mineral oil
17.728005203807268,-0.2992229252445415,0.26% White mineral oil
1.0764031085125914,-4.096535326964182,0.86% White mineral oil
3.847999046749495,-4.054932807848422,0.86% White mineral oil
10.118112603172353,-4.411737547505227,0.86% White mineral oil
11.19873546897921,-4.461771291693991,0.86% White mineral oil
16.040025893375034,-4.590785919755353,0.86% White mineral oil
17.728005203807268,-4.612077300127392,0.86% White mineral oil
