Storage Time (days),Compression Strength (MPa)
2.666080708111205,4.134918311986462,SWCNT/S-SBR
7.824561477744969,5.2144913801121735,SWCNT/S-SBR
10.724118729427417,5.712681326871422,SWCNT/S-SBR
13.339894039883722,12.75249469078026,SWCNT/S-SBR
2.666080708111205,-2.2570162690621993,Molybdenum disulfide/S-SBR
7.824561477744969,0.338799466707874,Molybdenum disulfide/S-SBR
10.724118729427417,21.232400492011863,Molybdenum disulfide/S-SBR
13.339894039883722,23.094630210143492,Molybdenum disulfide/S-SBR
2.666080708111205,7.962970854449332,montmorillonite/S-SBR
7.824561477744969,8.540969478256912,montmorillonite/S-SBR
10.724118729427417,8.58960543458921,montmorillonite/S-SBR
13.339894039883722,10.056152878601416,montmorillonite/S-SBR
