Electric Field (V/m),Fracture Toughness (MPa·m^0.5)
0,2.048188349309565,PAA
2,2.0169790463326365,PAA
3,1.8220796615182882,PAA
9,1.723445354211555,PAA
14,1.543080049271325,PAA
18,1.4430340435633853,PAA
0.7894303669932312,8.287612576464738,Nylon 11
1.2353388491384698,8.348821795706687,Nylon 11
9.064597274958784,18.927747019598037,Nylon 11
9.972143610436625,27.722659249460502,Nylon 11
10.577062451136882,24.59875626188652,Nylon 11
16.77138669948213,258.51916797384865,Nylon 11
0,-1.7028033366123698,Polyrotaxane
1,-1.9682472137599294,Polyrotaxane
4,-2.6280300771876073,Polyrotaxane
7,-2.7250235705569628,Polyrotaxane
10,-2.7851739928065977,Polyrotaxane
17,-2.834163765939535,Polyrotaxane
0.48372585156691184,-5.12977033987643,P(BA-a)
3.0261829780120353,-3.836332007360416,P(BA-a)
5.362382141923307,-2.0037813720830417,P(BA-a)
10.806717704066916,20.74711272636097,P(BA-a)
13.973375168902987,19.9195598081772,P(BA-a)
17.463084480752627,253.53038480907807,P(BA-a)
2.3644701782918265,0.43891094431165656,PANa
3.11255781049544,0.2968574020796293,PANa
3.4352542540334574,0.2702289578883236,PANa
7.019035374189933,0.04615950314155054,PANa
18.053962399921218,-0.2589898592464436,PANa
18.29557288657776,-0.2602276936073108,PANa
