Degradation Temperature (°C),Electrical Conductivity (S/m)
3,0.6499656115886716,
4,-0.09630268642582962,
5,4.357775475655937,
6,5.074444818211854,
17,403.4116614002797,
3,9.506237968652004,
4,9.179802211244729,
5,9.56190966810224,
6,8.688485132629966,
17,17.439467011048883,
3,6.520520571282113,
4,6.20047978473295,
5,6.277248473340133,
6,6.153379867387129,
17,5.823881560168101,
3,-0.14069325844849623,
4,-0.2719401956286634,
5,-0.35907512315835655,
6,-0.45419424573642175,
17,-0.61282497731683,
3,-3.7753188924646266,
4,-3.650883485383317,
5,-3.690129598328784,
6,-3.892164468442881,
17,-4.241826633242208,
