Coefficient Of Thermal Expansion (1/K),Coercivity (A/m)
3,-4.245656240670387,0.59% Au
4,-4.477114882196382,0.59% Au
8,-4.585371166781328,0.59% Au
14,-4.893409260825158,0.59% Au
15,-4.920947666047605,0.59% Au
13.154182492224242,44.67090801611671,0.77% Au
13.37672521885185,74.46128105412099,0.77% Au
16.797209787342794,39.65967874268236,0.77% Au
18.18515696764091,330.93736781903357,0.77% Au
18.960839984527805,-221.91627347223786,0.77% Au
7.667026722765414,5.614167041113675,0.35% Au
7.936757732688093,5.611255618211833,0.35% Au
9.291930117372019,5.580839955459692,0.35% Au
9.757432807147698,5.577908935965358,0.35% Au
19.564214000041805,5.5236413612551525,0.35% Au
5.579819237600903,6.0213015508861485,0.18% Au
6.498771555025648,6.546105451180491,0.18% Au
6.512078062737934,5.437899035305724,0.18% Au
18.038472997489542,-2.754513501712685,0.18% Au
18.166957820456286,7.860371087961964,0.18% Au
