Incubation Temperature (°C),Particle Size Distribution
5.951615965110186,-2.8362371541106732,0.02% Silver nitrate/Poly(vinyl butyral)
6.648673494595744,-2.851155728433561,0.02% Silver nitrate/Poly(vinyl butyral)
11.706241155063001,-3.0425068990791084,0.02% Silver nitrate/Poly(vinyl butyral)
19.41450914530757,-3.2356251392006343,0.02% Silver nitrate/Poly(vinyl butyral)
5.951615965110186,-3.8469670844385933,0.11% Silver nitrate/Poly(vinyl butyral)
6.648673494595744,-3.9052991096373364,0.11% Silver nitrate/Poly(vinyl butyral)
11.706241155063001,-3.981109219599516,0.11% Silver nitrate/Poly(vinyl butyral)
19.41450914530757,-4.008323052724217,0.11% Silver nitrate/Poly(vinyl butyral)
5.951615965110186,-1.6386536745997926,0.79% Silver nitrate/Poly(vinyl butyral)
6.648673494595744,0.2055719235756852,0.79% Silver nitrate/Poly(vinyl butyral)
11.706241155063001,51.364036788531884,0.79% Silver nitrate/Poly(vinyl butyral)
19.41450914530757,1456.4532399800241,0.79% Silver nitrate/Poly(vinyl butyral)
