Synthesis Time (min),Porosity (%)
4,1.408742893633747,0.88% FeO/PMMA-PnBA
6,6.073900926560676,0.88% FeO/PMMA-PnBA
16,448.44335288208936,0.88% FeO/PMMA-PnBA
18,-64.89575413200448,0.88% FeO/PMMA-PnBA
4,7.1851967417620095,0.01% FeO/PMMA-PnBA
6,7.1215968727497145,0.01% FeO/PMMA-PnBA
16,6.968885303676256,0.01% FeO/PMMA-PnBA
18,6.965011530886842,0.01% FeO/PMMA-PnBA
4,4.831115676804285,0.53% FeO/PMMA-PnBA
6,3.6467475473617674,0.53% FeO/PMMA-PnBA
16,268.84016268101897,0.53% FeO/PMMA-PnBA
18,-30.97367046529683,0.53% FeO/PMMA-PnBA
4,6.397947817081237,0.41% FeO/PMMA-PnBA
6,7.371056270069885,0.41% FeO/PMMA-PnBA
16,20.08409203835341,0.41% FeO/PMMA-PnBA
18,11.977529049172073,0.41% FeO/PMMA-PnBA
4,-3.816429762425418,0.29% FeO/PMMA-PnBA
6,-3.939859292228948,0.29% FeO/PMMA-PnBA
16,-4.271395420280066,0.29% FeO/PMMA-PnBA
18,-4.32819127190567,0.29% FeO/PMMA-PnBA
