Crosslinking Density (mol/m³),Electrochemical Potential (V)
0,2.4597333901934553,expanded graphite/PR
1,2.1591584585046473,expanded graphite/PR
19,1.620436724825777,expanded graphite/PR
0,6.410627675547456,C.I. Pigment Black 6/PR
1,7.388130206828567,C.I. Pigment Black 6/PR
19,302.889137285308,C.I. Pigment Black 6/PR
0,5.474778033766613,Barium titanate/PR
1,5.492383323606667,Barium titanate/PR
19,4.690169626463317,Barium titanate/PR
0,4.354993296764434,Lamp black/PR
1,4.328274746500282,Lamp black/PR
19,3.5740451353803095,Lamp black/PR
0,2.08442847430987,Au/PR
1,2.1203301887056325,Au/PR
19,1.3161796246949555,Au/PR
