Incubation Time (h),Viscosity (Pa·s)
0.5943490768107806,2.77989622902139,0.55% exfoliated graphite/PTrFE
2.9002009270046236,2.6540920785896844,0.55% exfoliated graphite/PTrFE
11.790346877858456,2.249942313322968,0.55% exfoliated graphite/PTrFE
0.5943490768107806,0.7466842531449491,0.08% exfoliated graphite/PTrFE
2.9002009270046236,0.41471043098406735,0.08% exfoliated graphite/PTrFE
11.790346877858456,0.014195226598289173,0.08% exfoliated graphite/PTrFE
0.5943490768107806,8.638490725514473,0.67% exfoliated graphite/PTrFE
2.9002009270046236,8.132689888703288,0.67% exfoliated graphite/PTrFE
11.790346877858456,7.590563006836554,0.67% exfoliated graphite/PTrFE
0.5943490768107806,-6.3056885959117475,0.54% exfoliated graphite/PTrFE
2.9002009270046236,-6.267144323132917,0.54% exfoliated graphite/PTrFE
11.790346877858456,-6.672735081967189,0.54% exfoliated graphite/PTrFE
0.5943490768107806,-0.12678223315985537,0.89% exfoliated graphite/PTrFE
2.9002009270046236,-0.9508800925007116,0.89% exfoliated graphite/PTrFE
11.790346877858456,-1.3879135785176269,0.89% exfoliated graphite/PTrFE
