Aging Temperature (°C),Oxidation Potential (V)
8.629181856267005,7.982018894661357,Poly(acrylic acid)
11.47738010971839,34.3131569092207,Poly(acrylic acid)
12.171012524443013,66.75840895205567,Poly(acrylic acid)
12.253908571068173,16.068463354464185,Poly(acrylic acid)
13.51889079329814,-67.74268020039487,Poly(acrylic acid)
14.663807824878496,52.909329018508316,Poly(acrylic acid)
0.5723576258632557,-1.579069301428988,TGPAP
3.736872180511317,-1.7992898758839535,TGPAP
5.035220942207288,-1.7867517642609738,TGPAP
9.982435725082865,-0.7722088609920923,TGPAP
11.445199188959773,1.3925220572114938,TGPAP
18.547890774691037,4.762833668508533,TGPAP
0,-3.191133129302816,Epoxy novolac viny ester resin
2,-3.489886319083169,Epoxy novolac viny ester resin
10,-3.883233364980038,Epoxy novolac viny ester resin
12,-3.962977786971935,Epoxy novolac viny ester resin
16,-4.045415872153384,Epoxy novolac viny ester resin
19,-4.101867155258785,Epoxy novolac viny ester resin
9.97780701422391,3.0875736491974393,DGEBF Epoxy Resin
10.46632191595689,3.002384806436965,DGEBF Epoxy Resin
10.563629779623266,3.0863666472399283,DGEBF Epoxy Resin
10.628712095982529,3.071028465777414,DGEBF Epoxy Resin
12.991809276524783,2.976566644307311,DGEBF Epoxy Resin
13.516544999123672,2.9429315713524264,DGEBF Epoxy Resin
0,-1.6808743530731045,Polybenzimidazole
1,-1.7986033519963809,Polybenzimidazole
9,-2.5505245750509524,Polybenzimidazole
10,-2.6113339359224907,Polybenzimidazole
14,-2.710971550796426,Polybenzimidazole
18,-2.8042495140915595,Polybenzimidazole
