Volume Fraction (%),Crystallization Temperature (°C)
4,-3.7846825713971155,MgO/Poly(butyl acrylate)
6,-3.967373247916689,MgO/Poly(butyl acrylate)
10,-4.090450094883114,MgO/Poly(butyl acrylate)
14,-4.2214410385870496,MgO/Poly(butyl acrylate)
16,-4.262622126605097,MgO/Poly(butyl acrylate)
4,-3.2843996988169937,CaCu3Ti4O12/Poly(butyl acrylate)
6,-3.594256729123741,CaCu3Ti4O12/Poly(butyl acrylate)
10,-3.7960525183094447,CaCu3Ti4O12/Poly(butyl acrylate)
14,-3.9150331578276205,CaCu3Ti4O12/Poly(butyl acrylate)
16,-3.9598404385832096,CaCu3Ti4O12/Poly(butyl acrylate)
