Neutron Flux (n/cm²/s),Tensile Modulus (GPa)
5,2.1116270402794357,
7,2.0140103534291702,
8,1.9729992081422827,
10,1.9384134730854696,
15,1.8969206441264697,
5,2.6217261353527874,
7,8.846616174722463,
8,12.17059944415704,
10,18.49610253024959,
15,18.27659477825191,
5,9.060591485869395,
7,11.556037369809484,
8,6.410967404769348,
10,42.55017005837912,
15,157.68353206361974,
5,-3.2799970259676154,
7,-3.7402636732404266,
8,-4.339761521368379,
10,-3.8752506704604652,
15,-3.964294407008661,
