Decomposition Temperature (°C),Surface Area (m²/g)
1,4.691356435579237,White mineral oil/XNBR
4,4.2428748304053014,White mineral oil/XNBR
7,4.042090358394691,White mineral oil/XNBR
9,3.981172808271355,White mineral oil/XNBR
13,3.836229319231729,White mineral oil/XNBR
0,-6.443113879534854,Molybdenum disulfide/XNBR
6,-7.015174595574737,Molybdenum disulfide/XNBR
8,-7.1910841146725435,Molybdenum disulfide/XNBR
13,-7.299926312520911,Molybdenum disulfide/XNBR
17,-7.406952626757592,Molybdenum disulfide/XNBR
1.8497110461496957,-3.969015649574219,GO/XNBR
10.814245861064023,-4.023301193002648,GO/XNBR
12.346227125921827,-4.0616632925106,GO/XNBR
16.23788983342561,-4.150859035609457,GO/XNBR
17.526664916542217,-4.187515417307239,GO/XNBR
