vol% (%),Adhesion Strength (MPa)
4,-5.395985446949501,PDMS
10,-5.769719949274408,PDMS
13,-5.851670895431311,PDMS
4,0.935579491418868,PDMS
10,27.59654428316754,PDMS
13,17.98958382382336,PDMS
4,2.325275332461431,PBAT
10,1.9352323474676738,PBAT
13,1.8465571713214695,PBAT
4,3.5759309839881483,DGEBF
10,5.619337725697218,DGEBF
13,7.645066225140958,DGEBF
4,-4.201741252354767,Poly(butylene terephthalate)
10,16.129549287561098,Poly(butylene terephthalate)
13,32.95628517784016,Poly(butylene terephthalate)
