Rotational Speed (rpm),Corrosion Rate (mm/year)
5,-2.818267403800821,Polyetherketoneketone
12,47.183898944935336,Polyetherketoneketone
15,3.2874074493795487,Polyetherketoneketone
18,33.49590585414766,Polyetherketoneketone
5,7.989574494532348,Fluoroelastomer
12,11.129219624451252,Fluoroelastomer
15,5.536989231881581,Fluoroelastomer
18,13.570363911726336,Fluoroelastomer
5,11.216185776122867,BXZ
12,75.5699510069346,BXZ
15,173.4226736534758,BXZ
18,119.64455839952191,BXZ
5,-3.912155106539685,PA 6T
12,33.01914518522887,PA 6T
15,55.21498750741812,PA 6T
18,56.743209260147516,PA 6T
5,6.068162684768172,Nylon 12
12,61.44700436112719,Nylon 12
15,29.46756415769839,Nylon 12
18,111.361982871752,Nylon 12
