Electron Beam Dose (Gy),Adhesion Strength (MPa)
1,8.20861817833474,0.22% Montmorillonite/Poly(propylene)
4,8.875895084191818,0.22% Montmorillonite/Poly(propylene)
5,9.053644831735916,0.22% Montmorillonite/Poly(propylene)
15,11.519559872723462,0.22% Montmorillonite/Poly(propylene)
1,-2.235888544012363,0.7% Montmorillonite/Poly(propylene)
4,1.8158690266243536,0.7% Montmorillonite/Poly(propylene)
5,0.8173346511085402,0.7% Montmorillonite/Poly(propylene)
15,46.3244231714403,0.7% Montmorillonite/Poly(propylene)
1,6.620658762912401,0.65% Montmorillonite/Poly(propylene)
4,9.681224152296156,0.65% Montmorillonite/Poly(propylene)
5,9.777442549893593,0.65% Montmorillonite/Poly(propylene)
15,16.01478592345468,0.65% Montmorillonite/Poly(propylene)
1,2.6006710346004063,0.68% Montmorillonite/Poly(propylene)
4,2.330581232048111,0.68% Montmorillonite/Poly(propylene)
5,2.239084772770974,0.68% Montmorillonite/Poly(propylene)
15,2.0398680474184894,0.68% Montmorillonite/Poly(propylene)
1,-1.520723146162322,0.75% Montmorillonite/Poly(propylene)
4,-1.616208123649406,0.75% Montmorillonite/Poly(propylene)
5,-1.6420430945605502,0.75% Montmorillonite/Poly(propylene)
15,-2.0245079667882195,0.75% Montmorillonite/Poly(propylene)
