Specific Surface Area (m²/g),Young’s Modulus (GPa)
2.4777645085731614,2.007626491622334,
15.460558503813466,1.2651981925789682,
15.636904509210316,1.244361007227837,
19.103795954548055,1.1913537778762175,
2.4777645085731614,-4.4658846976318705,
15.460558503813466,-4.864797710662013,
15.636904509210316,-4.865114509810823,
19.103795954548055,-4.871386296047522,
2.4777645085731614,2.812881868300822,
15.460558503813466,2.154980412722434,
15.636904509210316,2.1508228557875158,
19.103795954548055,2.0858885125950772,
2.4777645085731614,6.768279542294739,
15.460558503813466,6.072440683491674,
15.636904509210316,6.059032462650381,
19.103795954548055,5.9943965357571365,
