Incubation Time (h),Elongation At Break (%)
6,3.2441119042955315,PnBA
7,5.021390040096069,PnBA
9,3.6538807141342478,PnBA
12,8.238932998678724,PnBA
13,7.764863623752676,PnBA
18,2.826997353966912,PnBA
1,-2.3298904152423585,PS
2,-2.3890140969894063,PS
3,-2.395824399182824,PS
7,-2.8386498846925274,PS
11,-2.923649969400661,PS
18,-2.958941214697585,PS
0.12784578367077248,8.072647996799367,BECy
0.14542733208884773,7.828463927940984,BECy
1.3686411543359855,8.397447675498189,BECy
5.888927777251272,11.886329252970672,BECy
6.823107062225642,20.239370437931747,BECy
11.612222372712356,35.79074492516677,BECy
2,7.131175461340137,PEMA
5,6.5956578204847895,PEMA
9,8.639278501712475,PEMA
11,6.974317068796394,PEMA
13,10.453688699412684,PEMA
17,7.535399778295732,PEMA
9.43818534059108,1.1890687259309645,Poly(styrene-b-butadiene)
10.349621997220133,1.1640597181130998,Poly(styrene-b-butadiene)
12.317412663034517,1.1021007639910698,Poly(styrene-b-butadiene)
12.992394623857919,1.046567652719769,Poly(styrene-b-butadiene)
15.535443709472913,0.9877902847678866,Poly(styrene-b-butadiene)
19.27425807290056,0.9367919784283951,Poly(styrene-b-butadiene)
