Decomposition Temperature (°C),Bulk Modulus (GPa)
2,-4.287504909070515,Thermal black/PLA
5,0.014957510088797754,Thermal black/PLA
9,6.706387449141852,Thermal black/PLA
10,-0.34475273992145183,Thermal black/PLA
13,21.544440832910887,Thermal black/PLA
3.8983653454247746,-2.6376714688577962,Single-wall carbon nanotubes/PLA
4.165491918683273,-2.893749763437018,Single-wall carbon nanotubes/PLA
7.099228099570554,-5.12968233166259,Single-wall carbon nanotubes/PLA
7.4020865411655805,6.527197973764766,Single-wall carbon nanotubes/PLA
8.837320654319822,12.740286132308297,Single-wall carbon nanotubes/PLA
