Thermal Conductivity (W/(m·K)),Electrochemical Potential (V)
5,7.091966110536595,exfoliated graphite/TPU
6,7.018774187975959,exfoliated graphite/TPU
10,6.888707974126987,exfoliated graphite/TPU
11,6.882182754648527,exfoliated graphite/TPU
14,6.857615274225048,exfoliated graphite/TPU
15,6.854224011678739,exfoliated graphite/TPU
5,1.3568418998304717,Graphite Nanoplatelets/TPU
6,1.4558643193778775,Graphite Nanoplatelets/TPU
10,1.1513049486733835,Graphite Nanoplatelets/TPU
11,1.1658944701063065,Graphite Nanoplatelets/TPU
14,1.0609879032869551,Graphite Nanoplatelets/TPU
15,1.0115441885654304,Graphite Nanoplatelets/TPU
5,-1.3222377777902183,Methoxy(dimethyl)octylsilane/TPU
6,-1.6717756493666243,Methoxy(dimethyl)octylsilane/TPU
10,26.378017111248372,Methoxy(dimethyl)octylsilane/TPU
11,24.309733908962333,Methoxy(dimethyl)octylsilane/TPU
14,-18.80378910858712,Methoxy(dimethyl)octylsilane/TPU
15,147.7216878603303,Methoxy(dimethyl)octylsilane/TPU
