Volume Fraction (%),Tensile Modulus (GPa)
2.12837200701959,7.583898667447885,Poly(2-vinyl pyridine)
7.584223122844027,7.339918359226589,Poly(2-vinyl pyridine)
7.716597703258219,7.340712326108816,Poly(2-vinyl pyridine)
7.91116680797926,7.350709792240109,Poly(2-vinyl pyridine)
18.48654631122408,7.023958093900044,Poly(2-vinyl pyridine)
19.817481804021543,7.008122669837019,Poly(2-vinyl pyridine)
3.3451020760188777,7.031587750918354,Polyetherketoneketone
3.5176716806822395,7.2524836484241835,Polyetherketoneketone
4.317413450935135,6.939754644903198,Polyetherketoneketone
5.914405093710018,6.838296151169531,Polyetherketoneketone
9.755719616280246,6.737409428827933,Polyetherketoneketone
19.180106339754836,6.466933161363413,Polyetherketoneketone
