Crystallinity (%),Electric Field Strength (V/m)
1.342252992127917,3.5598943117159667,PDMS
4.584897958475236,5.816872515958341,PDMS
9.3612362226927,19.321735466627672,PDMS
16.80641730375945,197.56606094582202,PDMS
18.214093977172226,161.119572860672,PDMS
1.342252992127917,3.742266705553847,Poly(acrylamide)
4.584897958475236,4.0213833983626435,Poly(acrylamide)
9.3612362226927,3.7366738309642535,Poly(acrylamide)
16.80641730375945,3.5070252747453825,Poly(acrylamide)
18.214093977172226,3.4693994644670236,Poly(acrylamide)
1.342252992127917,7.215794037572138,PMMA-PnBA-PMMA
4.584897958475236,7.913945311481824,PMMA-PnBA-PMMA
9.3612362226927,9.184185510484674,PMMA-PnBA-PMMA
16.80641730375945,11.639575204872516,PMMA-PnBA-PMMA
18.214093977172226,9.206295431077745,PMMA-PnBA-PMMA
1.342252992127917,8.282471424805392,COC
4.584897958475236,11.542412318284413,COC
9.3612362226927,29.528493603956058,COC
16.80641730375945,208.13639604563005,COC
18.214093977172226,170.22198063995137,COC
