Drying Temperature (°C),Flexural Modulus (GPa)
8.78474232422768,-0.38974832239067814,0.81% silicon dioxide/NVE
14.227012082111548,4.27680129920795,0.81% silicon dioxide/NVE
15.28508737634774,3.893663665519963,0.81% silicon dioxide/NVE
16.40890277070019,5.8195076967564745,0.81% silicon dioxide/NVE
17.22770608070943,16.788732029645125,0.81% silicon dioxide/NVE
8.78474232422768,-3.296386022058775,0.54% silicon dioxide/NVE
14.227012082111548,-3.4892489656407073,0.54% silicon dioxide/NVE
15.28508737634774,-3.5340611970267983,0.54% silicon dioxide/NVE
16.40890277070019,-3.5570334505712364,0.54% silicon dioxide/NVE
17.22770608070943,-3.5480185803115347,0.54% silicon dioxide/NVE
