UV Exposure Time (h),Coercivity (A/m)
3.1239459698764516,-5.923290993707007,0.72% 9-anthracenemethanol
3.7888194182885115,-6.5959681492505595,0.72% 9-anthracenemethanol
4.770216848311948,-6.4782087367341425,0.72% 9-anthracenemethanol
14.262870411340835,1.5524451466465674,0.72% 9-anthracenemethanol
16.67303316537049,-3.517837046409597,0.72% 9-anthracenemethanol
3.1239459698764516,-6.324513492764971,0.3% 9-anthracenemethanol
3.7888194182885115,-6.31059766323645,0.3% 9-anthracenemethanol
4.770216848311948,-6.42569623857337,0.3% 9-anthracenemethanol
14.262870411340835,-6.786524005097918,0.3% 9-anthracenemethanol
16.67303316537049,-6.851339301850388,0.3% 9-anthracenemethanol
