Evaporation Temperature (°C),Electrical Resistivity (Ω·m)
1,-4.7034713123674745,Poly(ethylene)
6,-5.273019837290779,Poly(ethylene)
12,-5.3921362780800495,Poly(ethylene)
1,-5.708411054207389,iPP
6,-4.542519783790286,iPP
12,26.797406803794686,iPP
1,-3.1560360314008733,PBA-a
6,-2.227316676767934,PBA-a
12,-3.0397246866330403,PBA-a
1,8.130112166010651,E-SBR
6,9.837108002451247,E-SBR
12,9.870423846589633,E-SBR
1,-0.3695303164714523,CNBR
6,-1.0556554437511467,CNBR
12,-1.2066051180551467,CNBR
