Strain,Impact Strength (kJ/m²)
8.63313210963548,0.6365305838585549,Graphite/UPR
15.922726971386087,0.5651390017134824,Graphite/UPR
16.31158324424549,0.5629340042728774,Graphite/UPR
18.41226461676157,0.5599662499509763,Graphite/UPR
19.882491160756278,0.5586023899128376,Graphite/UPR
8.63313210963548,8.487210047794097,White mineral oil/UPR
15.922726971386087,9.750870173214976,White mineral oil/UPR
16.31158324424549,19.076013850909913,White mineral oil/UPR
18.41226461676157,15.626419011378232,White mineral oil/UPR
19.882491160756278,5.027389023722711,White mineral oil/UPR
8.63313210963548,9.173839221204734,Clay/UPR
15.922726971386087,14.99301015724856,Clay/UPR
16.31158324424549,13.100338831226878,Clay/UPR
18.41226461676157,10.145209233650517,Clay/UPR
19.882491160756278,9.321679393004178,Clay/UPR
8.63313210963548,12.60816648792656,SAF/UPR
15.922726971386087,12.222265288865184,SAF/UPR
16.31158324424549,-6.495614725764472,SAF/UPR
18.41226461676157,-32.56705261819239,SAF/UPR
19.882491160756278,978.2623904688569,SAF/UPR
