Pore Volume (cm³/g),Viscosity (Pa·s)
2,7.9283959271468145,0.75% Fullerene/Poly(ethyl acrylate)
3,8.381409674344763,0.75% Fullerene/Poly(ethyl acrylate)
4,7.659708161955801,0.75% Fullerene/Poly(ethyl acrylate)
6,7.722316877876132,0.75% Fullerene/Poly(ethyl acrylate)
8,11.002792554595764,0.75% Fullerene/Poly(ethyl acrylate)
15,3.8311544860225206,0.75% Fullerene/Poly(ethyl acrylate)
18,12.24370018740461,0.75% Fullerene/Poly(ethyl acrylate)
2,1.98288446070865,0.78% Fullerene/Poly(ethyl acrylate)
3,1.7175945943635016,0.78% Fullerene/Poly(ethyl acrylate)
4,1.730212401125363,0.78% Fullerene/Poly(ethyl acrylate)
6,1.5997787721786612,0.78% Fullerene/Poly(ethyl acrylate)
8,1.5764982420637934,0.78% Fullerene/Poly(ethyl acrylate)
15,1.3393409093347697,0.78% Fullerene/Poly(ethyl acrylate)
18,1.2852634804973742,0.78% Fullerene/Poly(ethyl acrylate)
2,-2.3901136563963785,0.12% Fullerene/Poly(ethyl acrylate)
3,-2.51511180998659,0.12% Fullerene/Poly(ethyl acrylate)
4,-2.6200199870768888,0.12% Fullerene/Poly(ethyl acrylate)
6,-3.1628921227374676,0.12% Fullerene/Poly(ethyl acrylate)
8,0.20472032537000562,0.12% Fullerene/Poly(ethyl acrylate)
15,-3.3644716487394337,0.12% Fullerene/Poly(ethyl acrylate)
18,-0.9872690822054913,0.12% Fullerene/Poly(ethyl acrylate)
2,0.035526512216561335,0.59% Fullerene/Poly(ethyl acrylate)
3,-0.05439409212753654,0.59% Fullerene/Poly(ethyl acrylate)
4,0.2635971967561157,0.59% Fullerene/Poly(ethyl acrylate)
6,1.1553590813639127,0.59% Fullerene/Poly(ethyl acrylate)
8,0.9013740019289558,0.59% Fullerene/Poly(ethyl acrylate)
15,-0.8248555484535824,0.59% Fullerene/Poly(ethyl acrylate)
18,8.935467828274943,0.59% Fullerene/Poly(ethyl acrylate)
2,-2.7823642987711845,0.97% Fullerene/Poly(ethyl acrylate)
3,-2.8263252588700793,0.97% Fullerene/Poly(ethyl acrylate)
4,-1.711674072345514,0.97% Fullerene/Poly(ethyl acrylate)
6,-2.9921621444805715,0.97% Fullerene/Poly(ethyl acrylate)
8,-1.9921787655684007,0.97% Fullerene/Poly(ethyl acrylate)
15,2.3915130398598095,0.97% Fullerene/Poly(ethyl acrylate)
18,-8.773170921603292,0.97% Fullerene/Poly(ethyl acrylate)
