Stress (Pa),Specific Heat (J/(g·K))
1.9016922668501457,-4.205368999861965,Poly(glycidyl methacrylate)
2.7315835041441883,-4.43213908301105,Poly(glycidyl methacrylate)
10.846152112717437,-4.801492199982226,Poly(glycidyl methacrylate)
11.160929924952248,-4.813181078907777,Poly(glycidyl methacrylate)
12.348161286157017,-4.8224748931061425,Poly(glycidyl methacrylate)
16.290596485458572,-4.83866005065255,Poly(glycidyl methacrylate)
18.754324742011143,-4.8429125774610196,Poly(glycidyl methacrylate)
1.9016922668501457,-3.033865436627669,P(Baph)
2.7315835041441883,-3.1878289350468423,P(Baph)
10.846152112717437,-3.5992758701205396,P(Baph)
11.160929924952248,-3.598895560545041,P(Baph)
12.348161286157017,-3.611836668465901,P(Baph)
16.290596485458572,-3.6276022851000262,P(Baph)
18.754324742011143,-3.6315528142864943,P(Baph)
1.9016922668501457,1.988424097083897,PTFE
2.7315835041441883,1.9651623380078203,PTFE
10.846152112717437,1.5808194512353244,PTFE
11.160929924952248,1.5782088841185067,PTFE
12.348161286157017,1.5675180796447274,PTFE
16.290596485458572,1.549044922233042,PTFE
18.754324742011143,1.5453299869938781,PTFE
