Light Intensity (W/m²),Pore Size (nm)
0.6415774057237256,-2.9062031326167315,Poly(vinyl pyrrolidone)
3.615528029028676,-0.23930096732724326,Poly(vinyl pyrrolidone)
11.801231174112651,36.10275512561812,Poly(vinyl pyrrolidone)
17.543945996934763,-27.99387725691173,Poly(vinyl pyrrolidone)
0.6415774057237256,-3.5836639561423973,XNBR
3.615528029028676,-3.851502694248955,XNBR
11.801231174112651,-4.24122176699645,XNBR
17.543945996934763,-4.368390268263779,XNBR
0.6415774057237256,4.405918980203873,PS
3.615528029028676,3.914134640521404,PS
11.801231174112651,3.641067969094381,PS
17.543945996934763,3.6162265449865862,PS
