Mixing Time (min),Degradation Temperature (°C)
7,-4.697235457318034,expandable graphite/PEA
12,-4.799654383881898,expandable graphite/PEA
14,-4.81146020332266,expandable graphite/PEA
4.46393281729919,5.424673977459794,TiNT/PEA
15.561332393716825,11.388507994765916,TiNT/PEA
19.425071315178396,7.818007720838816,TiNT/PEA
0,-4.295896929322625,Barium strontium titanate/PEA
5,-5.086718771807043,Barium strontium titanate/PEA
6,-5.180851069105255,Barium strontium titanate/PEA
4,6.819893874611025,Ba0.7Sr0.3TiO3/PEA
12,7.234572348383625,Ba0.7Sr0.3TiO3/PEA
14,9.44257902442062,Ba0.7Sr0.3TiO3/PEA
